fecha,semana_iso,corpus,diario,provincia,region,ciudad_origen,url_medio,titular
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Giro en la causa por el crimen en un cotillón de La Plata: descartan la hipótesis de una deuda y el acusado no declaró
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El Gobierno cede fondos ante la presión del transporte: ¿se encamina el boleto a un nuevo aumento?
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Marcha atrás: Milei reabrirá la sala de periodistas y Adorni volverá a dar una conferencia en la Rosada
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Conmoción en Punta Lara: encontraron el cuerpo del pescador que seguía desaparecido en el Río de la Plata
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Imputan a un funcionaria de la Procuración bonaerense por presuntas maniobras con billeteras virtuales en La Plata
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Informe de la UNLP | ¿Cuánto influyen los productos importados en los comercios platenses?
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Cómo le fue a Gimnasia en torneos con playoffs
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Fernando Muslera, el héroe copero: ""Respetaron la historia de Estudiantes"""
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,EN VIVO - El streaming de La Redonda
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Al compás de la interna, el PJ volvió a marchar dividido en Plaza de Mayo"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Bomberos rescataron a un niño que había quedado atrapado en un monumento del Parque Alberti
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Baby Etchecopar lapidario con Adorni: ""Se levantaba en sunga y bajaba así a servirse el desayuno"""
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Autorizan otro aumento de la tarifa del gas a partir de mañana en La Plata
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Por un triunfo River juega en Brasil para seguir bien arriba: hora, formaciones confirmadas y tv"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El dólar en baja por tercer día y una fuerte intervención del Banco Central: compró US$ 207 millones
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"VIDEO. Un motociclista herido tras un choque con una pickup en ""la esquina más peligrosa"" de La Plata"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Un motociclista de La Plata hospitalizado tras un violento choque en Camino Centenario
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Una diputada bonaerense y un dirigente platense de la Izquierda detenidos por el ejército de Israel: piquete en 7 y 50
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El gendarme Nahuel Gallo denunció torturas en Venezuela y se presentó como querellante contra Maduro
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,VIDEO. Imprudencia al volante en La Plata: una “avivada” peligrosa que se repite en Camino Centenario
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Nueva suba en las cuotas de los colegios privados de la Provincia: de cuánto será el aumento
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"VIDEO. ""Desnudaron"" a un adolescente al sufrir un robo camino a la escuela en La Plata"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Uno por uno, todo los nominados a los Premios Martín Fierro de Televisión"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Murió Georg Baselitz, el artista que puso el mundo patas para arriba"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Música, teatro, shows y más en la agenda de espectáculos para este finde en La Plata"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La escultura de la Loba Capitolina de Rómulo y Remo volvió a la Plaza Italia
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Se siguen sumando listas para la elección del Colegio de Abogados
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El Congreso de Brasil reduce la condena a Bolsonaro y abre un nuevo frente con la Justicia
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Salió el cronograma de pagos en la Provincia: ¿cuándo cobran los docentes y los estatales?
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Milei visitó el portaviones estadounidense ""USS Nimitz"", que se encuentra en Mar del Plata"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La lesión de Julián Álvarez enciende las alarmas en la Selección
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¡Llegó Vito! La primera foto del hijo de Belén Ludueña y Jorge Macri que se hizo viral en las redes
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Gimena Accardi y Seven Kayne blanquearon su romance tras una escapada a la Costa Atlántica
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,El tablero post Mundial y las expectativa del “Círculo Rojo”
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En Brasil hablan de ""batalla campal"" por el juego de Estudiantes ante Flamengo: ""Dos jugadores merecían la roja"""
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Chelo Torres: ""Ahora que entramos a los playoffs, quiero una revancha contra Estudiantes"""
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Lisandro Magallán: “Soy hincha de Gimnasia, toda mi infancia fue ir al Bosque”"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,La burla de los hinchas argentinos por la poca convocatoria de Flamengo de visitante
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,¿Domínguez se podrá sostener al frente del Mineiro?
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Uno por uno: el boletín de calificaciones de los jugadores de Estudiantes vs Flamengo
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Estudiantes puso todo lo que tiene en una noche muy brava y ante Flamengo, un rival de alto nivel"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"""Pata"" Pereyra evalúa apostar todo contra Argentinos o dosificar cargas"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"En La Plata, Kicillof anunció un refuerzo en medicamentos y calificó de ""criminal"" el fin del Remediar"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Cirugías en riesgo en La Plata: anestesiólogos denuncian que la Provincia ""adeuda el 100% de los haberes de 2026"""
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Un sector del PJ se reúne en Parque Norte para discutir un nuevo armado peronista
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Cuenta DNI activa los descuentos de mayo 2026: uno por uno, todos los beneficios"
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Violento choque frente a la Estación de Tolosa: una motociclista herida
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Oportunidades inmobiliarias en La Plata
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,Rayos y tormentas amenazan suspender el GP de F1 de Miami
2026-04-30,2026-W18,provincial,EL DÍA,Buenos Aires,AMBA,La Plata,https://www.eldia.com,"Blockx no deja de sorprender, en el Masters 1000 de Madrid"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"El desafío de Villarruel, el blindaje de Milei a Adorni y la crisis de la basura en CABA"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,¿Vuelve la guerra por Malvinas? El informe filtrado del Pentágono que alarma a Gran Bretaña y el rol de Milei
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Declaración Jurada de Manuel Adorni: La investigación de Alconada Mon sobre bienes omitidos
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"El ""Cuento de las tías"": Adorni acorralado por su patrimonio y el trasfondo de la política de Estado en YPF"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,La economía de los insumos gastronómicos: cómo los nuevos formatos de óxido nitroso redefinen el consumo en la cocina moderna
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Guía completa para comprar un departamento en venta
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,El fin de la luna de miel: Tenembaum revela encuestas con más del 60% de imagen negativa para Milei
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Por qué en el boxeo un campeón no puede desaparecer sin pelear durante 9–12 meses sin pagar el precio
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Álvarez Agis advierte sobre el plan de Milei para YPF: ""Es un retiro del Estado que pagarán las provincias"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Alfredo Zaiat explica por qué el modelo de Milei entró en un tobogán: el atraso cambiario destruye la industria, los dólares se van ""por la canaleta"" del ahorro y el FMI le soltó la mano."
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,El crecimiento del juego online en Latinoamérica y su impacto económico
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"El mito de la ""inflación cero"": Las prepagas suben un 28,7% y asfixian a la clase media"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Jorge Asís advierte sobre la crisis en el ""Triángulo de Hierro"" y el despertar del peronismo"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Qué debe tener un buen hosting en Argentina: características que realmente importan
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Andrés Asiaín advierte sobre el regreso del ""Corralito"": El riesgo de los Argendólares"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Corrientes al límite: empresas pagan salarios con vales
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Venezuela cortó la mufa: el título que fue mucho más que un jonrón
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Tu WhatsApp ahora acepta cuotas: la guía para cobrar con link de pago con tarjeta de crédito
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,La nueva economía del ocio digital en Argentina
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Álvarez Agis advirtió: ""No podés bajar la inflación a lo Fate, matando el empleo"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,La trampa del crédito: En 2025 la mora familiar se triplicó y el endeudamiento llegó a niveles récord
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Miguel Kiguel advierte que el ajuste de Milei será ""más doloroso que en los 90"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Juan José Giani: ""Milei mutó hacia una derecha clásica y exige un peronismo más inteligente"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Melconian fulminó el optimismo de Caputo: ""¿Tema terminado? No sobra nada"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Trump y la obsesión por Groenlandia: el nuevo capítulo del imperialismo ártico
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,¿Cómo ganar en Joker Jewels y por qué este slot es tan popular?
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Federico Poli alertó a Sturzenegger: ""Esto es mucho peor que la convertibilidad"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Álvarez Agis advierte: el modelo de Milei genera dólares pero vacía el Conurbano
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,¿Trucho? El escandaloso secreto detrás del DNI del viceministro de Caputo que el Gobierno intenta ocultar
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Hugo Alconada Mon: La causa Libra complica a Javier Milei según la justicia de Estados Unidos
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Ignition en América Latina y la transformación cultural del entretenimiento digital
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,El fin de la mentira: Canadá rompe con el orden global y desafía a Trump
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,El Gobierno Argentino Avanza en la Regulación del Juego Online para 2025
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,El fiscal que debe investigar a Ritondo tiene a su hijo asociado al círculo íntimo del diputado
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Diego Genoud: El Partido Militar de Milei, el golpe a Villarruel y la alineación con Trump"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Celulares Xiaomi en Argentina: por qué se volverán una de las marcas favoritas en 2026
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Economía digital en Argentina: nuevas formas de generar ingresos desde casa
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Agencia link building: técnicas actuales para aumentar la autoridad de tu web
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,HOY ESCÁNDALO Corrientes al límite: empresas pagan salarios con vales Un aserradero en Gobernador Virasoro paga sueldos con vales desde hace meses. La postal no es una anécdota aislada: es el síntoma brutal de una economía que se descompone desde la base productiva.
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,DESTACADOS Geopolítica Trump y la obsesión por Groenlandia: el nuevo capítulo del imperialismo ártico
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"Datos ¿Cómo ganar en Joker Jewels y por qué este slot es tan popular? FUEGO AMIGO Federico Poli alertó a Sturzenegger: ""Esto es mucho peor que la convertibilidad"""
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Economía argentina Álvarez Agis advierte: el modelo de Milei genera dólares pero vacía el Conurbano NUEVO ESCÁNDALO ¿Trucho? El escandaloso secreto detrás del DNI del viceministro de Caputo que el Gobierno intenta ocultar
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,Datos importantes Hugo Alconada Mon: La causa Libra complica a Javier Milei según la justicia de Estados Unidos Datos Ignition en América Latina y la transformación cultural del entretenimiento digital
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,GEOPOLÍTICA El fin de la mentira: Canadá rompe con el orden global y desafía a Trump ECONOMÍA El Gobierno Argentino Avanza en la Regulación del Juego Online para 2025
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,"""JUSTICIA"" - CORRUPCIÓN El fiscal que debe investigar a Ritondo tiene a su hijo asociado al círculo íntimo del diputado análisis profundo Diego Genoud: El Partido Militar de Milei, el golpe a Villarruel y la alineación con Trump"
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,TECNOLOGÍA Celulares Xiaomi en Argentina: por qué se volverán una de las marcas favoritas en 2026 Datos Economía digital en Argentina: nuevas formas de generar ingresos desde casa
2026-04-30,2026-W18,provincial,EN ORSAI,Buenos Aires,AMBA,Morón,https://www.enorsai.com.ar,SEO Agencia link building: técnicas actuales para aumentar la autoridad de tu web
